pnum,stntype,stnstatus,opstatus,sitecity,sitestate,region,lat,lon,elev,project,networks,multi_types,is_realtime,mean_latency_last_hour,mean_latency_last_day,data_complete_last_day,data_complete_last_hour,status
ECSD,GPS,Installed,Operable,Brandon,SD,East,43.73369938731105,-96.61400933839087,444.3639057839567,PBO,"NOTA, PBO","GPS, Meteorological Stations",1,102,98,100,100,OK
EDCR,GPS,Installed,Operable,Adak,Alaska,AK,57.07178,-135.70085,636,USGS,,GPS,0,,,,,OK
EDEC,GPS,Installed,Operable,Sitka,Alasak,AK,57.04386,-135.70909,283,USGS,,GPS,0,,,,,OK
EDNW,GPS,Installed,Inoperable,Adak,Alaska,AK,57.063022,-135.783704,362,USGS,,GPS,0,,,,,OK
EDPP,GPS,Installed,Operable,Grapevine,CA,SW,34.94619554609153,-118.830412864155,379.87790955551054,PBO,"NOTA, PBO",GPS,1,-1,-1,88,100,OK
EDSO,GPS,Installed,Operable,Sitka,Alaska,AK,57.02822,-135.78752,227,USGS,,GPS,0,,,,,OK
EGAN,GPS,Installed,Operable,Ely,NV,East,39.345242742721496,-114.93885717148311,1998.2881491911642,PBO,"NOTA, PBO",GPS,1,448,430,100,100,OK
ELEN,GPS,Installed,Operable,"Santa Elena",,Coco,16.91605617302101,-89.8676144127291,118.14041547267963,COCONet,"NOTA, COCONet","GPS, Meteorological Stations",0,,,,,"Status Unavailable"
ELKO,GPS,Installed,Operable,Elko,NV,East,40.9146894933735,-115.81720098054438,2016.9087293157286,PBO,"NOTA, PBO",GPS,1,110,75,100,100,OK
ELLY,GPS,Installed,Operable,"Long Beach",CA,SW,33.58350018136094,-118.1287905235067,-2.86940930541675,"SoCal Edison","NOTA, SoCal Edison","GPS, Meteorological Stations",1,233,224,99,100,OK
ELMA,GPS,Installed,Operable,Leon,,Coco,12.46583574851025,-86.67475001072268,445.21561490569695,Other,Other,GPS,0,,,,,"Status Unavailable"
ELSC,GPS,Installed,Operable,"Los Angeles",California,SW,34.02973594552565,-118.2084383647406,61.165885234517134,USGS,,GPS,1,-1,-1,0,0,OK
ELTN,GPS,Installed,Operable,"Elizabeth Lake Tunnel North",California,SW,34.70311870147179,-118.42573396902901,916.5126466582401,USGS,,GPS,1,-1,-1,85,100,OK
ELTS,GPS,Installed,Operable,"Lake Hughes",California,SW,34.599291893426404,-118.45376328483806,887.1094808087911,USGS,,GPS,0,,,,,"Status Unavailable"
ELVI,GPS,Installed,Operable,Filadelfia,Guanacaste,noUS,10.394696255989109,-85.44580607010852,81.8515668261756,PI,PI,GPS,0,,,,,OK
EMIG,GPS,Installed,Operable,"Idaho Falls ",Idaho,N/A,44.07438516996499,-112.92747187817312,1946.0298104528065,Other,Other,GPS,0,,,,,"Status Unavailable"
EOCG,GPS,Installed,Operable,"Santa Barbara",California,SW,34.450848755621564,-119.7697809388242,42.48186545729056,USGS,,GPS,1,-1,-1,99,100,OK
EPZA,GPS,Installed,Operable,Esperanza,Guanacaste,noUS,10.140938854818208,-85.56806434415608,668.6045539933315,PI,PI,GPS,0,,,,,OK
ESN1,BSM,Installed,Operable,Esenkoy,,N/A,40.5963,28.9223,2,GONAF,"NOTA, GONAF","Borehole Strainmeters, Seismometers, Meteorological Stations",0,,,,,"Status Unavailable"
ESRS,GPS,Installed,Operable,"Socorro ","New Mexico",East,34.073662,-106.918873,1416.3,Other,Other,GPS,0,,,,,OK
ESRX,GPS,Installed,Operable,"Socorro ","New Mexico",East,34.073662,-106.918873,1416.3,Other,Other,GPS,0,,,,,OK
EUCH,GPS,Installed,Operable,"Lincoln City",OR,NW,44.83474157733337,-123.87081130358024,721.9379287149424,PBO,"NOTA Affiliated, PBO",GPS,1,-1,-1,100,100,OK
EWPP,GPS,Installed,Operable,"Rancho Cucamonga",CA,SW,34.104200259314375,-117.52559018185883,330.49763346358236,PBO,"NOTA, PBO",GPS,1,1157,1156,100,100,OK
EYC2,GPS,Installed,Operable,Cordova,AK,AK,60.548751583,-145.750117361,135.99,PBO,"NOTA, PBO",GPS,1,-1,-1,0,0,OK
FALL,GPS,Installed,Operable,"Transantarctic Mountains",Antarctica,AntA,-85.3064,-143.6317,262.1,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
FCDE,GPS,Installed,Operable,Miami,Florida,N/A,25.61725589928803,-80.30535082352333,-24.408063397699358,PI,PI,GPS,0,,,,,OK
FCHO,GPS,Installed,Operable,Miami,Florida,N/A,25.908026989353438,-80.12480522095763,-24.55608304982304,PI,PI,GPS,0,,,,,OK
FCI1,GPS,Installed,Operable,"North Miami",Florida,N/A,25.90570464200999,-80.13745255104794,-22.723942536794794,PI,PI,GPS,0,,,,,OK
FCI2,GPS,Installed,Operable,"North Miami",Florida,N/A,25.905840684340365,-80.13835877475162,-24.64821989380373,PI,PI,GPS,0,,,,,OK
FERN,GPS,Installed,Operable,"Ash Fork",AZ,East,35.3418713063427,-112.45473917635923,1767.9303248290846,PBO,"NOTA, PBO",GPS,1,62,37,100,100,OK
FGST,GPS,Installed,Operable,"Los Olivos",CA,SW,34.73301248830423,-120.00938761294671,904.1061886181858,PBO,"NOTA, PBO",GPS,1,51,52,100,100,OK
FHOG,GPS,Installed,Operable,"Forest Falls",California,SW,34.09354745490443,-116.93587179316322,1588.7004583149728,USGS,,GPS,1,-1,-1,99,100,OK
FIE0,GPS,Installed,Operable,"Franklin Island",Antarctica,AntA,-76.14459329,168.42352848,153.7055,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
FLM5,GPS,Installed,Operable,"Wright Valley",Antarctica,AntA,-77.532729597,160.271408855,1869.8231,Polar,Polar,GPS,0,,,,,OK
FMTP,GPS,Installed,Operable,Fillmore,California,SW,34.4098646,-118.89414446,362.7831,USGS,,GPS,1,-1,-1,0,0,OK
FMVT,GPS,Installed,Operable,Fillmore,CA,SW,34.35633900819466,-118.88403736787578,617.0172566455036,PBO,"NOTA, PBO",GPS,1,5,4,100,100,OK
FONP,GPS,Installed,Operable,"Graham Land",Antarctica,AntA,-65.24542353,-61.64680086,65.4673,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
FOOT,GPS,Installed,Operable,Gandy,UT,East,39.36939592252272,-113.8053756688098,1547.3991478348623,PBO,"NOTA, PBO",GPS,1,77,67,100,100,OK
FORE,GPS,Installed,Operable,"HEBER CITY",UT,East,40.51189582259478,-111.38033034430788,1796.6848578998527,PBO,"NOTA, PBO",GPS,1,110,108,100,100,OK
FOS1,GPS,Installed,Operable,Antarctica,Antarctica,AntA,-71.31334,-68.32084,158.8,Polar,Polar,GPS,0,,,,,"Status Unavailable"
FOXG,GPS,Installed,Operable,Lancaster,California,SW,34.73391292685405,-118.24050245442479,688.7973965023843,USGS,,GPS,1,-1,-1,100,100,OK
FRED,GPS,Installed,Operable,Fredonia,AZ,East,36.98833120933155,-112.49921951753635,1529.7435564373802,PBO,"NOTA, PBO",GPS,1,128,127,100,100,OK
FRKI,GPS,Installed,Operable,"Franklin Island",Antarctica,AntA,-76.1644,168.3828,0,Polar,Polar,GPS,0,,,,,"Status Unavailable"
FS63,GPS,Installed,Operable,Wasilla,AK,AK,61.4696722433341,-149.72328113575023,43.620967699612706,PI,PI,GPS,0,,,,,"Status Unavailable"
FS82,GPS,Installed,Operable,"Big Lake",AK,N/A,61.54870032401497,-149.81606895900265,60.79219609603794,PI,PI,GPS,0,,,,,OK
FSFB,GPS,Installed,Operable,"Sugar Land",Texas,N/A,29.556188,-95.63045,2,PI,PI,GPS,0,,,,,OK
FSTH,GPS,Installed,Operable,"Al Hoceima",,noUS,35.175024,-3.863193,72.1,Other,Other,GPS,0,,,,,"Status Unavailable"
FTP4,GPS,Installed,Operable,"Transantarctic Mountains",Antarctica,AntA,-78.9277,162.5647,243.2,Polar,Polar,GPS,0,,,,,"Status Unavailable"
FZHS,GPS,Installed,Operable,"Frazier Mountain",California,SW,34.80019488896825,-118.89338537844256,1273.7573193456017,USGS,,GPS,1,-1,-1,99,100,OK
GANJ,GPS,Installed,Operable,Ganja,,noUS,40.68038,46.3613,443.499,Other,Other,GPS,0,,,,,"Status Unavailable"
GARL,GPS,Installed,Operable,Empire,NV,NW,40.41652594371377,-119.35545990634265,1640.2544207267663,PBO,"NOTA, PBO",GPS,1,1175,1181,100,100,OK
GCEA,GPS,Installed,Operable,"George Town",,Coco,19.293020597379115,-81.37802468242938,16.056792616888284,COCONet,"NOTA Affiliated, COCONet",GPS,0,,,,,OK
GCFS,GPS,Installed,Operable,"North Side","Grand Cayman",Coco,19.312862523601108,-81.18353427551494,-10.75068754829513,COCONet,"NOTA Affiliated, COCONet","GPS, Meteorological Stations",0,,,,,OK
GDEC,GPS,Installed,Operable,"California Valley",California,SW,35.189417348535336,-119.86368614795674,566.2800125091745,USGS,,GPS,1,-1,-1,100,100,OK
GHRG,GPS,Installed,Operable,Ghorjomi,,noUS,41.7347299234,42.3408330432,1992.81887,Other,Other,GPS,0,,,,,"Status Unavailable"
GHRP,GPS,Installed,Operable,"San Bernardino",California,SW,34.20389091387152,-117.3978992488243,628.6179925836648,USGS,,GPS,1,-1,-1,100,100,OK
GLDK,GPS,Installed,Operable,Antarctica,Antarctica,AntA,-72.23305,-100.58758,55.7,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
GLRS,GPS,Installed,Operable,Niland,CA,SW,33.274811438607166,-115.52137392300429,-48.62643489046879,PBO,"NOTA, PBO",GPS,1,221,328,100,100,OK
GLS1,GPS,Installed,Operable,"Raven Camp",Greenland,Arct,66.4793959439,-46.3101516098,2150,Polar,Polar,GPS,0,,,,,"Status Unavailable"
GLS2,GPS,Installed,Operable,Sermersooq,Greenland,Arct,69.0920641768,-39.6471727984,2917,Polar,Polar,GPS,0,,,,,"Status Unavailable"
GLS3,GPS,Installed,Operable,"Neem Camp",Greenland,Arct,77.4316951304,-51.1080499792,2480,Polar,Polar,GPS,0,,,,,"Status Unavailable"
GMEZ,GPS,Installed,Operable,Rothera,Antarctica,AntA,-73.88546717,-68.53646064,1420.255,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
GMMA,GPS,Installed,Operable,"NE Greenland National Park",Greenland,Arct,77.80942621060305,-19.65211969868136,521.8367503582843,Polar,Polar,GPS,0,,,,,OK
GMPK,GPS,Installed,Operable,Glamis,CA,SW,33.05108439971487,-114.82734722595288,591.2033207921575,PBO,"NOTA, PBO","GPS, Meteorological Stations",1,71,62,100,100,OK
GMRC,GPS,Installed,Operable,Kelso,CA,SW,34.783996736858946,-115.66023133638944,1298.2252386833463,PBO,"NOTA, PBO",GPS,1,972,257,100,100,OK
GNPS,GPS,Installed,Operable,Parker,CA,SW,34.308555592160786,-114.18945193377337,232.40986106326517,PBO,"NOTA, PBO",GPS,1,28,32,99,100,OK
GOBS,GPS,Installed,Operable,Goldendale,WA,NW,45.83881776428449,-120.81467820294702,621.4787803982152,PBO,"NOTA, PBO",GPS,1,53,54,100,100,OK
GOSH,GPS,Installed,Operable,"West Wendover",NV,East,40.64016774156146,-114.17970055009985,1560.2174224408416,PBO,"NOTA, PBO","GPS, Meteorological Stations",1,1091,1088,100,100,OK
GRNX,GPS,Installed,Operable,Healy,AK,AK,63.835497396715475,-148.9781950020526,594.489845288734,PBO,"NOTA, PBO",GPS,1,128,121,100,100,OK
GROK,GPS,Installed,Operable,"NE Greenland National Park",Greenland,Arct,78.44269961480242,-22.903767122522595,1045.9580687930086,Polar,Polar,GPS,0,,,,,OK
GRRG,GPS,Installed,Operable,"Idaho Falls",Idaho,N/A,42.9377761033981,-111.4216352516419,2198.358907826671,Other,Other,GPS,0,,,,,"Status Unavailable"
GRS2,GPS,Installed,Operable,Socorro,NM,N/A,34.358,-106.6794,1576,Other,Other,GPS,0,,,,,"Status Unavailable"
GRZA,GPS,Installed,Operable,Garza,Guanacaste,noUS,9.915522821314797,-85.63561591278074,39.73106315251495,PI,PI,GPS,0,,,,,OK
GSEC,GPS,Installed,Operable,Spring,Texas,N/A,30.197301,-95.528092,25.4,PI,PI,GPS,0,,,,,OK
GSSC,GPS,Installed,Operable,Adak,Alaska,AK,52.09356,-176.17752,248,USGS,,GPS,0,,,,,OK
GTRG,GPS,Installed,Operable,"Atomic City",ID,East,43.24409080918894,-113.24121566523789,1539.148118604884,PBO,"NOTA, PBO",GPS,1,74,63,100,100,OK
GUAT,GPS,Installed,Operable,"Guatemala City",,Coco,14.590404566233566,-90.52018229463164,1519.8639665043181,COCONet,"NOTA, COCONet","GPS, Meteorological Stations",0,,,,,OK
GUAX,GPS,Installed,Operable,"Guadalupe Island",Baja,Mex,28.88406288475854,-118.28969061476022,40.49718030650423,TLALOCNet,"NOTA, TLALOCNet","GPS, Meteorological Stations",1,-1,-1,0,0,"Status Unavailable"
GUDA,GPS,Installed,Operable,Gudauri,,noUS,42.44382599,44.49065241,1870.2507,Other,Other,GPS,0,,,,,"Status Unavailable"
GV01,GPS,Installed,Operable,Villamil,"Isabella Island",noUS,-0.7824046126914737,-91.11337588703145,1043.9856945249612,PI,PI,GPS,0,,,,,OK
GV02,GPS,Installed,Operable," Villamil ","Isabella Island",noUS,-0.8147160099919188,-91.13293125599529,949.7194993967595,PI,PI,GPS,0,,,,,OK
GV03,GPS,Installed,Operable,Villamil,,noUS,-0.7978040638403084,-91.13293460810155,927.51807611989,PI,PI,GPS,0,,,,,OK
GV04,GPS,Installed,Operable,Villamil,,noUS,-0.8114790438531512,-91.13806020847136,948.4094664381023,PI,PI,GPS,0,,,,,OK
GV05,GPS,Installed,Operable,Villamil,,noUS,-0.8049297930353663,-91.12120477739728,914.2763859084974,PI,PI,GPS,0,,,,,OK
GV06,GPS,Installed,Operable,Villamil,,noUS,-0.8343294053177045,-91.12806737451837,966.8647124406749,PI,PI,GPS,0,,,,,OK
GV07,GPS,Installed,Operable,"Sierra Negra Volcano",,noUS,-0.8405222034394959,-91.15261209828105,1027.3811397367592,PI,PI,GPS,0,,,,,OK
GV08,GPS,Installed,Operable,"Sierra Negra Volcano",,noUS,-0.8420022269342011,-91.13440720556025,905.401757634195,PI,PI,GPS,0,,,,,OK
GV09,GPS,Installed,Operable,Villamil,,noUS,-0.8372908844013307,-91.1473641641673,1038.275293700816,PI,PI,GPS,0,,,,,OK
GV10,GPS,Installed,Operable,Villamil,,noUS,-0.8492563959924818,-91.15104641165232,1046.2312389255285,PI,PI,GPS,0,,,,,"Status Unavailable"
GV11,GPS,Installed,Operable,"Puerto Villamil",Galapagos,noUS,-0.9477,-90.9554,11,Other,Other,GPS,0,,,,,"Status Unavailable"
GVRS,GPS,Installed,Operable,"Monterey Park",California,SW,34.047449156170664,-118.11289951009542,154.51523828514212,USGS,,GPS,1,-1,-1,100,100,OK
GZ13,GPS,Installed,Operable,,,AntA,-84.361992,-162.90125,56.3,Polar,Polar,GPS,0,,,,,"Status Unavailable"
GZ20,GPS,Installed,Operable,"Whillans Ice Stream",,AntA,-84.253773,-165.599434,52.8,Polar,Polar,GPS,0,,,,,"Status Unavailable"
GZKA,GPS,Installed,Operable,"Borrego Springs",California,N/A,33.26012526773026,-116.3772777398369,153.18961697949675,PI,PI,GPS,0,,,,,OK
HAAG,GPS,Installed,Operable,"Ellsworth Land",Antarctica,AntA,-77.038,-78.2871,1172.6,Polar,Polar,"GPS, Meteorological Stations",0,,,,,OK
HALK,BSM,Installed,Operable,Istanbul,,N/A,41.05883,28.78633,157.6,GONAF,"NOTA, GONAF","Borehole Strainmeters, Seismometers",0,,,,,"Status Unavailable"
HAR7,GPS,Installed,Operable,Lockhart,California,SW,35.01153,-117.2992,589.25,USGS,,GPS,1,-1,-1,99,100,OK
HBCO,GPS,Installed,Operable,Willmington,California,SW,33.78364890115041,-118.2858006030225,-26.859566276039157,USGS,,GPS,1,-1,-1,100,100,OK
HCC1,GPS,Installed,Operable,Houston,Texas,N/A,29.787876,-95.561221,3.7,PI,PI,GPS,0,,,,,OK
HCES,GPS,Installed,Operable,Troy,TN,N/A,36.33260500894668,-89.17176905841967,77.91905038488918,PI,PI,GPS,0,,,,,OK
HCMN,GPS,Installed,Operable,"Newberry Springs",CA,SW,34.75477350012721,-116.43007775297744,568.7722518722695,PBO,"NOTA, PBO",GPS,1,225,229,100,100,OK
HCRO,GPS,Installed,Operable,"Hat Creek",CA,NW,40.81591690579455,-121.46990203999098,1000.1215861138633,PBO,"NOTA, PBO",GPS,1,-1,-1,0,0,OK
HDIL,GPS,Installed,Operable,Hopedale,IL,East,40.555885882915035,-89.29399112462465,199.93144485804442,PBO,"NOTA, PBO",GPS,1,-1,-1,100,100,OK
HEL2,GPS,Installed,Operable,Sermersooq,Greenland,Arct,66.40115804966656,-38.21570840584536,425.00304176891655,Polar,Polar,GPS,0,,,,,OK
HERH,GPS,Installed,Operable,Leon,Leon,N/A,12.609313713193204,-86.83100828091415,739.4984541004932,Other,Other,GPS,0,,,,,"Status Unavailable"
HIVI,GPS,Installed,Operable,"High Vista",CA,SW,34.75992104497584,-117.7994572457736,930.8953846773032,PBO,"NOTA, PBO",GPS,1,2,0,100,100,OK
HJOR,GPS,Installed,Operable,Sermersooq,Greenland,Arct,63.418210656666545,-41.14787067633648,762.7172796259833,Polar,Polar,GPS,0,,,,,OK
HLNE,GPS,Installed,Operable,Hualañé,Maule,noUS,-35.004639,-71.744833,50.915,Other,Other,GPS,0,,,,,"Status Unavailable"
HMBG,GPS,Installed,Operable,"NE Greenland National Park",Greenland,Arct,73.67598261237235,-28.12907276003716,1322.8999673422004,Polar,Polar,GPS,0,,,,,OK
HMTG,GPS,Installed,Operable,Hemet,California,SW,33.7080979832994,-117.00150594775945,577.0402926677609,USGS,,GPS,1,-1,-1,100,100,"Status Unavailable"
HNPS,GPS,Installed,Operable,"Desert Center",CA,SW,33.70500525415826,-115.63533772056726,393.9552743107721,PBO,"NOTA, PBO",GPS,1,1191,1446,100,100,OK
HOG2,GPS,Installed,Operable,"Mount Erebus",Antarctica,AntA,-77.5316,166.9326,2107,Polar,Polar,GPS,0,,,,,OK
HOGS,GPS,Installed,Operable,Parkfield,CA,N/A,35.866717627514916,-120.47950145106029,762.8753461118827,PBO,"NOTA Affiliated, PBO",GPS,0,,,,,"Status Unavailable"
HOL3,GPS,Installed,Operable,Pearblossom,California,SW,34.4581567464121,-117.84513115916513,1239.443542547169,USGS,,GPS,1,-1,-1,100,100,OK
HOLP,GPS,Installed,Operable,Hollydale,California,SW,33.924542569042124,-118.16817693049356,-6.748197841187591,USGS,,"GPS, Meteorological Stations",1,-1,-1,0,0,OK
HOWE,GPS,Installed,Operable,"Transantarctic Mountains",Antarctica,AntA,-87.4157,-149.4335,2584.7,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
HOWN,GPS,Installed,Operable,"Sentinel Range",Antarctica,AntA,-77.528,-86.7673,1478.5,Polar,Polar,"GPS, Meteorological Stations",0,,,,,OK
HPEK,GPS,Installed,Operable,Katy,Texas,N/A,29.754878,-95.715723,13,Other,Other,GPS,0,,,,,OK
HPIG,GPS,Installed,Operable,"Idaho Falls",Idaho,noUS,43.71327881906694,-113.10013079848929,2640.712292989246,Other,Other,GPS,0,,,,,"Status Unavailable"
HRDG,GPS,Installed,Operable,"NE Greenland National Park",Greenland,Arct,81.8798325096243,-44.51738040505296,718.4403617188942,Polar,Polar,GPS,0,,,,,OK
HRNP,GPS,Installed,Operable,Khulna,,noUS,21.81641,89.45941,-45.468,PI,PI,GPS,0,,,,,"Status Unavailable"
HSMN,GPS,Installed,Operable,Houston,Texas,N/A,29.800355,-95.469616,2.9,PI,PI,GPS,0,,,,,OK
HTON,GPS,Installed,Operable,Antarctica,Antarctica,AntA,-74.08001,-61.73059,950.5,Polar,Polar,"GPS, Meteorological Stations, Meteorological Stations",0,,,,,"Status Unavailable"
HUA2,GPS,Installed,Operable,"Huacas de Honcha",Guanacaste,noUS,10.01773156845475,-85.35169357906591,594.2275572382088,PI,PI,GPS,0,,,,,OK
HUGO,GPS,Installed,Operable,"Hugo Island",Antarctica,AntA,-64.96258,-65.66756,20,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
HUNT,GPS,Installed,Operable,Parkfield,CA,N/A,35.88081282966293,-120.40238648890141,449.36223548199945,PBO,"NOTA Affiliated, PBO",GPS,0,,,,,"Status Unavailable"
HVWY,GPS,Installed,Operable,Yellowstone,WY,East,44.61360014237056,-110.53596490824756,2406.8317318519184,PBO,"NOTA, PBO",GPS,0,,,,,OK
HVYS,GPS,Installed,Operable,Ojai,CA,SW,34.44123313806554,-119.18754706613774,373.9595213375568,PBO,"NOTA, PBO",GPS,1,3370,1230,99,100,OK
HWFG,GPS,Installed,Operable,"Idaho Falls",Idaho,N/A,43.92745156949829,-113.09667241715962,1716.2420403960584,Other,Other,GPS,0,,,,,"Status Unavailable"
HWUT,GPS,Installed,Operable,Hyrum,UT,East,41.60723997707565,-111.5651181217709,1714.9682321287596,PBO,"NOTA, PBO",GPS,0,,,,,OK
I40A,GPS,Installed,Operable,"Bristol Mountains",CA,SW,34.72732402169949,-115.9114508976431,765.3341219808833,PBO,"NOTA, PBO",GPS,1,32,37,100,100,OK
IAGX,GPS,Installed,Operable,"Isla Angel de la Guarda","Baja California",Mex,29.026560270953414,-113.17187819120682,152.4387847401885,Other,Other,GPS,0,,,,,"Status Unavailable"
ICIG,GPS,Installed,Operable,"Idaho Falls",Idaho,N/A,44.33033902376842,-112.94149703729786,2502.43994196178,Other,Other,GPS,0,,,,,"Status Unavailable"
ICPS,GPS,Installed,Operable,Kulaura,,noUS,24.403792,92.037719,20,PI,PI,GPS,0,,,,,"Status Unavailable"
IDOG,GPS,Installed,Operable,"Indio Hills",California,SW,33.796798109610386,-116.22151644479055,434.9553892925911,USGS,,GPS,1,-1,-1,99,100,OK
IDQG,GPS,Installed,Operable,Indio,California,SW,33.767973814314146,-116.2389869941064,-1.299191228340019,USGS,,GPS,1,-1,-1,99,100,OK
IFR1,GPS,Installed,Operable,IFRANE,N/A,noUS,33.513937,-5.125524,1710,Other,Other,GPS,0,,,,,"Status Unavailable"
IID2,GPS,Installed,Operable,Holtville,CA,SW,32.706168234992276,-115.03180458943709,9.76158975794634,PBO,"NOTA, PBO",GPS,1,69,65,100,100,OK
IMPS,GPS,Installed,Operable,Rice,CA,SW,34.15756245358416,-115.14510201833997,563.250935939993,PBO,"NOTA, PBO",GPS,1,416,452,99,100,OK
IND1,GPS,Installed,Operable,"Punta Indio",Guanacaste,noUS,9.864624963212547,-85.50219641637949,75.20164399281559,PI,PI,"GPS, Meteorological Stations",0,,,,,OK
INMN,GPS,Installed,Operable,Antarctica,Antarctica,AntA,-74.820865,-98.880456,678,Polar,Polar,"GPS, Meteorological Stations",0,,,,,OK
ISCO,GPS,Installed,Operable,,"Coconos Island",Coco,5.544349057188544,-87.05582718365457,10.36170662645955,COCONet,"NOTA, COCONet","GPS, Meteorological Stations",0,,,,,"Status Unavailable"
ISGN,GPS,Installed,Inoperable,Issaguen,,noUS,34.932189,-4.548291,1640,Other,Other,GPS,0,,,,,"Status Unavailable"
ISLK,GPS,Installed,Operable,Kernville,CA,SW,35.66227128590129,-118.47430471612148,823.404083977331,PBO,"NOTA, PBO",GPS,1,60,71,100,100,OK
IWAW,GPS,Installed,Operable,,,noUS,-1.9346031381489304,29.14724786936906,1517.4047498709504,PI,PI,GPS,1,-1,697,99,97,OK
JCFI,GPS,Installed,Operable,Leon,Leon,noUS,12.683744593672152,-86.82826795851804,44.131804504379275,Other,Other,GPS,0,,,,,"Status Unavailable"
JFWS,GPS,Installed,Operable,"Iowa County",WI,East,42.91427147247589,-90.24810868994905,293.600729248379,PBO,"NOTA, PBO",GPS,0,,,,,OK
JGBL,GPS,Installed,Operable,"NE Greenland National Park",Greenland,Arct,82.20875903356395,-31.00420823941306,753.2650335099258,Polar,Polar,GPS,0,,,,,OK
JME2,GPS,Installed,Operable,Jacmel,Haiti,Coco,18.235047859484414,-72.53840600848804,-8.419564024615353,COCONet,"NOTA, COCONet","GPS, Meteorological Stations",1,5,14,95,100,OK
JMEL,GPS,Installed,Inoperable,Jacmel,Sud-Est,N/A,18.23470858039405,-72.53632894017278,6.697323057459918,Other,Other,GPS,0,,,,,"Status Unavailable"
JNHG,GPS,Installed,Operable,"Juniper Hills",California,SW,34.449065426530055,-117.95544195734695,1276.165631476127,USGS,,GPS,1,-1,-1,98,99,OK
JNSN,GPS,Installed,Operable,Antarctica,Antarctica,AntA,-73.0765,-66.10219,1374,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
JRSN,GPS,Installed,Operable,Koyra,,N/A,22.248032,89.344444,-53.8,PI,PI,GPS,0,,,,,OK
JURI,GPS,Installed,Operable,Sagarnal,,noUS,24.498418,92.135305,-30,PI,PI,GPS,0,,,,,"Status Unavailable"
JWLF,GPS,Installed,Operable,"NE Greenland National Park",Greenland,Arct,83.11165392945166,-45.11984462570666,112.8847347065841,Polar,Polar,GPS,0,,,,,OK
KAEO,GPS,Installed,Operable,"Pu’u Kaeo, Moloka’I",Hawaii,N/A,21.215421909,-157.226747434,170.1549,PI,PI,GPS,1,53,30,99,100,OK
KAGA,GPS,Installed,Operable,Ilulissat,Greenland,Arct,69.22230197565173,-49.814633113095056,150.02157004383506,Polar,Polar,GPS,0,,,,,OK
KAGZ,GPS,Installed,Operable,Qaasuitsup,Greenland,Arct,79.13195880729147,-65.85296503685254,86.64278469576409,Polar,Polar,GPS,0,,,,,OK
KALW,GPS,Installed,Operable,Kalewa,"Sagaing ",N/A,23.197,94.304,64.488,PI,PI,GPS,0,,,,,"Status Unavailable"
KANZ,GPS,Installed,Operable,,,noUS,-1.646345453614011,29.37811388269381,2299.3072038992327,PI,PI,GPS,1,964,987,99,99,"Status Unavailable"
KASP,GPS,Installed,Operable,Kaspi,,noUS,41.91987853,44.42855228,572.4195,Other,Other,GPS,0,,,,,"Status Unavailable"
KBRC,GPS,Installed,Operable,"Santa Paula",CA,SW,34.39853002269352,-119.0082035529147,370.5056047968412,PBO,"NOTA, PBO","GPS, Meteorological Stations",1,375,347,100,100,OK
KBUG,GPS,Installed,Operable,Sermersooq,Greenland,Arct,65.14368295671805,-41.15754777647294,290.72032489850227,Polar,Polar,GPS,0,,,,,OK
KCHI,GPS,Installed,Operable,Karachi,None,noUS,24.9314,67.1129,8.9,Other,Other,GPS,0,,,,,"Status Unavailable"
KEPA,GPS,Installed,Operable,"Robertson Island",Antarctica,AntA,-54.29524,-36.51426,346,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
KHEP,GPS,Installed,Operable,Khepupara,,N/A,21.98668,90.21968,0,PI,PI,GPS,0,,,,,"Status Unavailable"
KHL2,GPS,Installed,Operable,Khulna,,noUS,22.80217,89.53273,-36,PI,PI,GPS,0,,,,,OK
KHLR,GPS,Installed,Operable,"Marie Byrd Land",Antarctica,AntA,-76.15464,-120.72867,1862,Polar,Polar,"GPS, Meteorological Stations",0,,,,,"Status Unavailable"
KHMG,GPS,Installed,Operable,Khamiskuri,,noUS,42.4052264267,41.8168773842,284.06,Other,Other,GPS,0,,,,,"Status Unavailable"
KIOS,GPS,Installed,Operable,Leon,,Coco,12.49432020924127,-86.70171164938864,490.00610227122144,Other,Other,GPS,0,,,,,"Status Unavailable"
KKAI,GPS,Installed,Operable,"Ocean View Estates",Hawaii,N/A,19.065899,-155.799029,411.9,PI,PI,GPS,1,104,107,99,100,OK
KKES,GPS,Installed,Operable,Houston,Texas,N/A,29.850327,-95.594934,9.6,PI,PI,GPS,0,,,,,OK
KLAY,GPS,Installed,Operable,Kale,Chin,N/A,23.19278,94.06444,62.637,PI,PI,GPS,0,,,,,"Status Unavailable"
